Дата; Зарегистрированных ; Выписанных ; Умерших ; Под контролем ; Всего зарег.
2020-02-01;2;0;0;8681;2
2020-03-02;1;0;0;7418;3
2020-03-03;0;0;0;;3
2020-03-04;0;0;0;7446;3
2020-03-05;1;0;0;7341;4
2020-03-06;6;1;0;7594;10
2020-03-07;4;0;0;8373;14
2020-03-08;3;0;0;9276;17
2020-03-09;3;2;0;9547;20
2020-03-10;0;0;0;9882;20
2020-03-11;8;0;0;11557;28
2020-03-12;6;0;0;12577;34
2020-03-13;11;0;0;13203;45
2020-03-14;14;0;0;14104;59
2020-03-15;4;0;0;14742;63
2020-03-16;30;1;0;15021;93
2020-03-17;21;3;0;16401;114
2020-03-18;33;5;0;17904;147
2020-03-19;52;5;0;22178;199
2020-03-20;54;12;0;27487;253
2020-03-21;53;16;0;36540;306
2020-03-22;61;16;0;52747;367
2020-03-23;71;17;0;72423;438
2020-03-24;57;22;0;93677;495 
2020-03-25;163;29;2;112074;658
