Дата;СПб;Лен. обл.;Москва;Моск. обл;Другие
2020-03-25;0;0;2;0;0
2020-03-26;0;0;2;0;0
2020-03-27;0;0;3;0;0
2020-03-28;0;0;4;0;0
2020-03-29;1;0;6;0;1
2020-03-30;1;0;6;0;2
2020-03-31;2;0;11;0;4
2020-04-01;2;0;16;1;5
2020-04-02;2;0;19;2;7
2020-04-03;2;0;20;2;10
2020-04-04;2;0;27;2;12
2020-04-05;2;0;29;2;12
2020-04-06;2;0;29;3;13
2020-04-07;2;0;31;8;17
2020-04-08;2;0;31;10;20
2020-04-09;4;0;38;13;21
2020-04-10;4;0;50;13;27
2020-04-11;4;0;58;14;30
2020-04-12;4;0;72;18;36
2020-04-13;4;0;82;19;43
2020-04-14;4;0;95;24;47
2020-04-15;5;0;106;26;61
2020-04-16;7;0;113;33;79
2020-04-17;7;0;127;40;99
2020-04-18;8;0;155;40;117
2020-04-19;8;0;176;49;135
2020-04-20;8;0;204;49;151
2020-04-21;11;0;233;49;170
2020-04-22;14;0;261;56;189
2020-04-23;17;0;288;56;201
2020-04-24;20;0;325;66;214
2020-04-25;23;0;366;69;233
2020-04-26;27;0;404;71;255
